Week,Category,Size,Plant Name
27,TRP,10IN,ZZ
27,TRP,10IN,Dracaena Marginata
27,TRP,10IN,Cordyline Red
27,TRP,10IN,Ponytail
27,FOL,6IN,Ponytail
27,FOL,6IN,Sansevieria
27,FOL,6IN,Spathiphyllum
27,FOL,6IN,ZZ
27,FOL,6IN,Calathea
27,FOL,4IN,Basic Foliage
27,FHB,8IN,Asparagus Fern
27,FHB,8IN,Golden Pothos
27,FHB,8IN,Neon Pothos
27,FHB,8IN,Marble Queen Pothos
27,FHB,8IN,Philodendron Brasil
27,SPC,3IN,Venus Fly Trap
27,SPC,3.5IN,Money Tree in Asst. Upgrade
27,SPC,MEDIUM,Bamboo in Dora
27,SPC,MEDIUM,Bonsai
27,UCO,5IN,Orchid in Ceramic
27,UCO,12IN,Waterfall Orchid Garden
27,FLO,2.5IN,Mini Penelope Kalanchoe in ice cream cone
27,FLO,4IN,Bicolor Kalanchoe w/ Citrus Slice PC
27,FLO,6IN,Kalanchoe/Calandive
27,FLO,4IN,African Violet
