Week #,Week date,Shipping,Additional,Status
32,08/3/26,A Only,SKIP WEEK,SKIP WEEK
33,08/10/26,ALL,Colorfuze Orchids,Delivering
34,08/17/26,A Only,NEW 6IN Varieties,Order Written
35,08/24/26,A & B Only,6IN & 10IN Crotons,Requests Due 8/17
36,08/31/26,A/C/D,6IN & 10IN Crotons,Requests Due 8/24
37,09/07/26,A & B Only,___,Requests Due 8/31
38,09/14/26,A Only,___,Requests Due 9/07
39,09/21/26,ALL,___,Requests Due 9/14
40,09/28/26,A Only,___,Requests Due 9/28
41,10/05/26,A & B Only,___,Requests Due 10/05
